team,total_matches,wins,win_percentage,toss_wins,toss_win_percentage,bat_first_preference
Uganda,103,81,78.64077669902912,53,51.45631067961165,64.15094339622641
Spain,37,29,78.37837837837837,19,51.35135135135135,26.31578947368421
Austria,55,40,72.72727272727273,26,47.27272727272727,42.30769230769231
Portugal,30,21,70.0,14,46.666666666666664,71.42857142857143
Japan,41,28,68.29268292682927,27,65.85365853658537,92.5925925925926
Italy,31,20,64.51612903225806,17,54.83870967741935,47.05882352941176
Rising Pune Supergiant,16,10,62.5,6,37.5,0.0
Jersey,48,30,62.5,23,47.91666666666667,43.47826086956522
Romania,50,31,62.0,27,54.0,62.96296296296296
Gujarat Titans,60,37,61.66666666666667,29,48.333333333333336,20.689655172413794
Perth Scorchers,163,99,60.73619631901841,88,53.987730061349694,54.54545454545454
Kuwait,63,38,60.317460317460316,34,53.96825396825397,8.823529411764707
Switzerland,30,18,60.0,15,50.0,60.0
Asia XI,5,3,60.0,4,80.0,75.0
Royal Challengers Bengaluru,30,18,60.0,15,50.0,13.333333333333334
Bahrain,89,53,59.55056179775281,42,47.19101123595505,33.33333333333333
Australia,898,534,59.46547884187082,466,51.89309576837417,63.0901287553648
India,970,573,59.07216494845361,454,46.8041237113402,51.541850220264315
Germany,56,33,58.92857142857143,28,50.0,21.428571428571427
Sydney Sixers,162,95,58.64197530864198,83,51.23456790123457,27.710843373493976
Bermuda,58,33,56.896551724137936,26,44.827586206896555,69.23076923076923
Chennai Super Kings,252,142,56.34920634920635,128,50.79365079365079,46.875
South Africa,774,431,55.68475452196382,399,51.55038759689923,55.13784461152882
Malaysia,99,55,55.55555555555556,58,58.58585858585859,58.620689655172406
Belgium,36,20,55.55555555555556,19,52.77777777777778,78.94736842105263
Tanzania,69,38,55.072463768115945,43,62.31884057971014,46.51162790697674
Fiji,11,6,54.54545454545454,4,36.36363636363637,25.0
Mumbai Indians,277,151,54.51263537906137,151,54.51263537906137,35.76158940397351
Norway,43,23,53.48837209302325,13,30.23255813953488,100.0
Nepal,172,92,53.48837209302325,88,51.162790697674424,26.136363636363637
Saudi Arabia,49,26,53.06122448979592,26,53.06122448979592,34.61538461538461
Namibia,150,79,52.666666666666664,79,52.666666666666664,45.56962025316456
Cyprus,25,13,52.0,11,44.0,72.72727272727273
Lucknow Super Giants,58,30,51.724137931034484,24,41.37931034482759,29.166666666666668
United States of America,120,62,51.66666666666667,51,42.5,39.21568627450981
Kolkata Knight Riders,264,135,51.13636363636363,128,48.484848484848484,31.25
Cook Islands,16,8,50.0,12,75.0,16.666666666666664
Isle of Man,20,10,50.0,11,55.00000000000001,54.54545454545454
New Zealand,779,387,49.6790757381258,376,48.267008985879336,44.680851063829785
Pakistan,828,411,49.63768115942029,410,49.51690821256038,59.02439024390244
Hobart Hurricanes,150,74,49.333333333333336,72,48.0,41.66666666666667
Scotland,197,97,49.23857868020304,83,42.13197969543147,45.78313253012048
England,906,443,48.8962472406181,463,51.10375275938189,45.35637149028078
Rajasthan Royals,235,114,48.51063829787234,127,54.04255319148936,34.645669291338585
Delhi Capitals,106,51,48.113207547169814,58,54.71698113207547,22.413793103448278
Argentina,21,10,47.61904761904761,12,57.14285714285714,50.0
Royal Challengers Bangalore,240,114,47.5,113,47.083333333333336,29.20353982300885
Sunrisers Hyderabad,196,93,47.44897959183674,95,48.46938775510204,38.94736842105263
Adelaide Strikers,154,73,47.4025974025974,70,45.45454545454545,58.57142857142858
Guernsey,36,17,47.22222222222222,17,47.22222222222222,23.52941176470588
Melbourne Stars,155,73,47.096774193548384,82,52.903225806451616,26.82926829268293
Oman,153,72,47.05882352941176,82,53.59477124183007,25.609756097560975
Hungary,37,17,45.94594594594595,20,54.054054054054056,45.0
Punjab Kings,74,34,45.94594594594595,37,50.0,29.72972972972973
Kenya,135,62,45.925925925925924,56,41.48148148148148,69.64285714285714
Qatar,48,22,45.83333333333333,21,43.75,19.047619047619047
Nigeria,81,37,45.67901234567901,43,53.086419753086425,74.4186046511628
France,33,15,45.45454545454545,19,57.57575757575758,73.68421052631578
United Arab Emirates,216,97,44.907407407407405,111,51.388888888888886,44.14414414414414
Kings XI Punjab,190,85,44.73684210526316,85,44.73684210526316,31.76470588235294
Brisbane Heat,153,68,44.44444444444444,78,50.98039215686274,44.871794871794876
Czech Republic,36,16,44.44444444444444,15,41.66666666666667,40.0
Mexico,18,8,44.44444444444444,9,50.0,55.55555555555556
Canada,133,59,44.3609022556391,69,51.8796992481203,52.17391304347826
Sri Lanka,857,380,44.340723453908986,437,50.991831971995325,59.26773455377574
Indonesia,66,29,43.93939393939394,28,42.42424242424242,46.42857142857143
Netherlands,203,88,43.34975369458128,100,49.26108374384236,45.0
Finland,30,13,43.333333333333336,17,56.666666666666664,52.94117647058824
Gujarat Lions,30,13,43.333333333333336,15,50.0,6.666666666666667
Hong Kong,126,54,42.857142857142854,60,47.61904761904761,43.333333333333336
Kochi Tuskers Kerala,14,6,42.857142857142854,8,57.14285714285714,37.5
Denmark,40,17,42.5,26,65.0,53.84615384615385
Thailand,50,21,42.0,23,46.0,47.82608695652174
Delhi Daredevils,161,67,41.61490683229814,80,49.68944099378882,36.25
Sierra Leone,29,12,41.37931034482759,18,62.06896551724138,44.44444444444444
Cambodia,29,12,41.37931034482759,18,62.06896551724138,38.88888888888889
Sydney Thunder,151,62,41.05960264900662,70,46.35761589403973,41.42857142857143
Malta,66,27,40.909090909090914,28,42.42424242424242,57.14285714285714
Melbourne Renegades,148,60,40.54054054054054,75,50.67567567567568,30.666666666666664
Cayman Islands,35,14,40.0,14,40.0,71.42857142857143
Eswatini,15,6,40.0,11,73.33333333333333,63.63636363636363
Philippines,35,14,40.0,17,48.57142857142857,35.294117647058826
Ireland,285,111,38.94736842105263,149,52.28070175438596,32.21476510067114
Vanuatu,31,12,38.70967741935484,13,41.935483870967744,69.23076923076923
Deccan Chargers,75,29,38.666666666666664,43,57.333333333333336,55.81395348837209
Sweden,29,11,37.93103448275862,18,62.06896551724138,33.33333333333333
Estonia,29,11,37.93103448275862,13,44.827586206896555,38.46153846153847
Israel,8,3,37.5,5,62.5,60.0
Malawi,38,14,36.84210526315789,22,57.89473684210527,63.63636363636363
Papua New Guinea,112,40,35.714285714285715,49,43.75,48.97959183673469
Rising Pune Supergiants,14,5,35.714285714285715,7,50.0,42.857142857142854
West Indies,769,270,35.110533159947984,374,48.634590377113135,37.4331550802139
Singapore,63,22,34.92063492063492,43,68.25396825396825,62.7906976744186
Bangladesh,622,217,34.88745980707396,312,50.160771704180064,47.756410256410255
Mozambique,23,8,34.78260869565217,8,34.78260869565217,37.5
Ghana,38,13,34.21052631578947,23,60.526315789473685,52.17391304347826
Bulgaria,41,14,34.146341463414636,23,56.09756097560976,43.47826086956522
Brazil,9,3,33.33333333333333,3,33.33333333333333,33.33333333333333
Bhutan,30,10,33.33333333333333,18,60.0,38.88888888888889
Luxembourg,40,13,32.5,17,42.5,41.17647058823529
Serbia,28,9,32.142857142857146,14,50.0,50.0
Gibraltar,47,15,31.914893617021278,25,53.191489361702125,60.0
Panama,22,7,31.818181818181817,10,45.45454545454545,100.0
Botswana,46,14,30.434782608695656,25,54.347826086956516,52.0
Bahamas,28,8,28.57142857142857,16,57.14285714285714,68.75
Rwanda,86,24,27.906976744186046,46,53.48837209302325,50.0
Zimbabwe,488,133,27.25409836065574,252,51.63934426229508,50.39682539682539
Pune Warriors,46,12,26.08695652173913,20,43.47826086956522,55.00000000000001
Belize,12,3,25.0,6,50.0,50.0
Turks and Caicos Island,4,1,25.0,2,50.0,100.0
Suriname,8,2,25.0,3,37.5,66.66666666666666
Costa Rica,8,2,25.0,5,62.5,60.0
Maldives,38,9,23.684210526315788,13,34.21052631578947,46.15384615384615
Samoa,17,4,23.52941176470588,8,47.05882352941176,87.5
St Helena,9,2,22.22222222222222,2,22.22222222222222,50.0
Africa XI,5,1,20.0,1,20.0,100.0
Croatia,23,4,17.391304347826086,11,47.82608695652174,72.72727272727273
Lesotho,12,2,16.666666666666664,3,25.0,33.33333333333333
ICC World XI,7,1,14.285714285714285,3,42.857142857142854,0.0
Seychelles,15,2,13.333333333333334,6,40.0,50.0
Turkey,15,2,13.333333333333334,6,40.0,33.33333333333333
Cameroon,15,2,13.333333333333334,6,40.0,66.66666666666666
South Korea,17,2,11.76470588235294,9,52.94117647058824,55.55555555555556
Gambia,9,1,11.11111111111111,2,22.22222222222222,100.0
China,9,1,11.11111111111111,3,33.33333333333333,66.66666666666666
Greece,10,1,10.0,9,90.0,33.33333333333333
Slovenia,15,1,6.666666666666667,7,46.666666666666664,57.14285714285714
Myanmar,17,1,5.88235294117647,7,41.17647058823529,57.14285714285714
Chile,2,0,0.0,2,100.0,100.0
Mongolia,14,0,0.0,4,28.57142857142857,25.0
Ivory Coast,5,0,0.0,2,40.0,100.0
Mali,10,0,0.0,7,70.0,57.14285714285714
Swaziland,5,0,0.0,3,60.0,100.0
Iran,1,0,0.0,0,0.0,0.0
